ERA,LAUNCH_YEAR,CATEGORY,PRODUCT_TYPE,PRODUCT_NAME,FORMULA,FINISH,FINISH_GROUP,SHADE_CODE,PAN_NUMBER,SHADE_NAME,SHADE_DESCRIPTION,COLOR_FAMILY,SHADE_DEPTH_ORDER,SHADE_DEPTH_GROUP,UNDERTONE_INFERRED_CMYK,UNDERTONE_CONFIDENCE,SHADE_FUNCTION,STICKER_PRICE,SIZE_OZ,PRICE_PER_OZ,C_PCT,M_PCT,Y_PCT,K_PCT,R_PCT,G_PCT,B_PCT,R_255,G_255,B_255,COLOR_VALUE_SOURCE,IS_COMPLEXION,IS_COLOR_COSMETIC,IS_MULTIUSE,IS_POWDER,IS_CREAM,IS_OUT_OF_STOCK,OOS_CAPTURE_DATE,SHADE_COUNT_FOR_PRODUCT,SOURCE_URL
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,100,,Salty,Matte White,white_silver,,,unknown,low,color_cosmetic,26,0.04,650,0,0,1,4,0.96,0.96,0.9504,245,245,242,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,110,,Nude Attitude,Matte Peach,coral_orange,,,unknown,low,color_cosmetic,26,0.04,650,0,14,22,5,0.95,0.817,0.741,242,208,189,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,150,,Not Playing,Matte Eggplant,purple,,,unknown,low,color_cosmetic,26,0.04,650,0,39,12,74,0.26,0.1586,0.2288,66,40,58,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,200,,No Shade,Matte Ultra Black,black_gray,,,unknown,low,color_cosmetic,26,0.04,650,2,2,0,82,0.1764,0.1764,0.18,45,45,46,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,120,,Hot Take,Daisy Yellow,yellow,,,unknown,low,color_cosmetic,26,0.04,650,0,11,45,0,1,0.89,0.55,255,227,140,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,190,,Hit It,Matte Navy Blue,blue,,,unknown,low,color_cosmetic,26,0.04,650,47,34,0,63,0.1961,0.2442,0.37,50,62,94,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,180,,Gagged,Matte Charcoal Grey,black_gray,,,unknown,low,color_cosmetic,26,0.04,650,0,0,0,74,0.26,0.26,0.26,66,66,66,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeliner,Drawn This Way Eyeliner,Gel,Matte,matte,140,,Facts,Matte Burgundy,berry_plum,,,unknown,low,color_cosmetic,26,0.04,650,0,68,43,61,0.39,0.1248,0.2223,99,32,57,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/26/2026,21,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Matte,matte,100,,On Brand,Nude,nude,,,unknown,low,color_cosmetic,29,0.05,580,0,34,44,27,0.73,0.4818,0.4088,186,123,104,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Matte,matte,130,,Hater,Chocolate Brown,brown,,,unknown,low,color_cosmetic,29,0.05,580,0,35,44,58,0.42,0.273,0.2352,107,70,60,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Matte,matte,120,,Delete That,Burgundy,berry_plum,,,unknown,low,color_cosmetic,29,0.05,580,0,49,50,54,0.46,0.2346,0.23,117,60,59,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Matte,matte,110,,Act Natural,Cinnamon,brown,,,unknown,low,color_cosmetic,29,0.05,580,0,42,63,43,0.57,0.3306,0.2109,145,84,54,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,180,,Zero Chill,Metallic Silver,white_silver,,,unknown,low,color_cosmetic,29,0.05,580,1,2,0,15,0.8415,0.833,0.85,215,212,217,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,170,,That's Cute,Metallic Hot Pink,pink,,,unknown,low,color_cosmetic,29,0.05,580,0,56,35,11,0.89,0.3916,0.5785,227,100,148,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,150,,Spicy,Metallic Copper,gold_bronze,,,unknown,low,color_cosmetic,29,0.05,580,0,34,51,24,0.76,0.5016,0.3724,194,128,95,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,140,,Shady,Metallic Champagne,gold_bronze,,,unknown,low,color_cosmetic,29,0.05,580,0,13,16,7,0.93,0.8091,0.7812,237,206,199,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,230,,Serving,Pinky Nude with Iridescent Pearl,nude,,,unknown,low,color_cosmetic,29,0.05,580,0,27,24,28,0.72,0.5256,0.5472,184,134,140,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,200,,Out Late,Metallic Black,black_gray,,,unknown,low,color_cosmetic,29,0.05,580,5,5,0,69,0.2945,0.2945,0.31,75,75,79,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Duochrome,duochrome,220,,Mood Swing,Blue and Purple,multi_duochrome,,,unknown,low,color_cosmetic,29,0.05,580,7,28,0,40,0.558,0.432,0.6,142,110,153,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,190,,Extra,Metallic Gold,gold_bronze,,,unknown,low,color_cosmetic,29,0.05,580,0,14,54,9,0.91,0.7826,0.4186,232,200,107,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Duochrome,duochrome,210,,Clapback,Pink and Bronze Duochrome,multi_duochrome,,,unknown,low,color_cosmetic,29,0.05,580,0,45,43,31,0.69,0.3795,0.3933,176,97,100,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Eyeshadow Single,Born Star Eyeshadow,Cream To Powder,Metallic,metallic_shimmer,160,,Cancelled,Green,green,,,unknown,low,color_cosmetic,29,0.05,580,2,0,32,23,0.7546,0.77,0.5236,192,196,134,converted_from_rgb,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,6/26/2026,14,mjb_2026.txt
revival,2026,Eyes,Mascara,Flashes Mascara,Mascara,N/A,none_na,2,,Cocoa,Cocoa,brown,,,unknown,low,color_cosmetic,29,0.22,131.818181818,0,26,36,57,0.43,0.3182,0.2752,110,81,70,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,3,mjb_2026.txt
revival,2026,Eyes,Mascara,Flashes Mascara,Mascara,N/A,none_na,3,,Indigo,Indigo,blue,,,unknown,low,color_cosmetic,29,0.22,131.818181818,89,70,0,59,0.0451,0.123,0.41,12,31,105,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,3,mjb_2026.txt
revival,2026,Eyes,Mascara,Flashes Mascara,Mascara,N/A,none_na,1,,Onyx,Onyx,black_gray,,,unknown,low,color_cosmetic,29,0.22,131.818181818,17,22,0,93,0.0581,0.0546,0.07,15,14,18,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,3,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,601,,That's Hot,Intense Pop Pink,pink,,,unknown,low,color_cosmetic,34,0.1,340,0,65,29,1,0.99,0.3465,0.7029,252,88,179,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,600,,Pop Off,Bright Electric Purple,purple,,,unknown,low,color_cosmetic,34,0.1,340,0,65,1,41,0.59,0.2065,0.5841,150,53,149,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,400,,On Red,Blue Intense Red,red,,,unknown,low,color_cosmetic,34,0.1,340,0,86,77,19,0.81,0.1134,0.1863,207,29,48,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,107,,Mutuals Only,Deep Warm Brown,brown,,,unknown,low,color_cosmetic,34,0.1,340,0,49,56,39,0.61,0.3111,0.2684,156,79,68,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,500,,Mauve On,Cool Purple Pink,berry_plum,,,unknown,low,color_cosmetic,34,0.1,340,0,53,45,27,0.73,0.3431,0.4015,186,87,102,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,101,,Love Muscle,Cool Fair Beige,nude,,,unknown,low,color_cosmetic,34,0.1,340,0,36,32,5,0.95,0.608,0.646,242,155,165,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,200,,Love Drunk,Soft Nude Pink,pink,,,unknown,low,color_cosmetic,34,0.1,340,0,53,50,4,0.96,0.4512,0.48,245,115,122,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,102,,Lips Don't Lie,Cool Light Brown Beige,nude,,,unknown,low,color_cosmetic,34,0.1,340,0,37,38,29,0.71,0.4473,0.4402,181,114,112,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,105,,Kinky Business,Warm Brown,brown,,,unknown,low,color_cosmetic,34,0.1,340,0,46,42,36,0.64,0.3456,0.3712,163,88,95,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,301,,Hot Blooded,True Warm Orange,coral_orange,,,unknown,low,color_cosmetic,34,0.1,340,0,63,67,20,0.8,0.296,0.264,204,75,67,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,202,,Hot & Bothered,Mauvy Deep Pink,pink,,,unknown,low,color_cosmetic,34,0.1,340,0,70,55,14,0.86,0.258,0.387,219,66,99,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
revival,2026,Lips,Lipstick,Heart On Lipstick,Lipstick,High Shine,shine_gloss,201,,Heart Attack,Fresh Vibrant Pink,pink,,,unknown,low,color_cosmetic,34,0.1,340,0,78,60,6,0.94,0.2068,0.376,240,53,96,converted_from_rgb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6/26/2026,20,mjb_2026.txt
