era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,160,You Wish,Matte Chocolate Brown,Matte,matte,brown,,,unknown,low,color_cosmetic,0,38,45,73,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,170,Try Me,Matte Olive Green,Matte,matte,green,,,unknown,low,color_cosmetic,3,0,18,64,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,130,Take Notes,Matte Electric Blue,Matte,matte,blue,,,unknown,low,color_cosmetic,82,66,0,32,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,100,Salty,Matte White,Matte,matte,white_silver,,,unknown,low,color_cosmetic,0,0,1,4,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,110,Nude Attitude,Matte Peach,Matte,matte,coral_orange,,,unknown,low,color_cosmetic,0,14,22,5,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,150,Not Playing,Matte Eggplant,Matte,matte,purple,,,unknown,low,color_cosmetic,0,39,12,74,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,200,No Shade,Matte Ultra Black,Matte,matte,black_gray,,,unknown,low,color_cosmetic,2,2,0,82,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,120,Hot Take,Daisy Yellow,Matte,matte,yellow,,,unknown,low,color_cosmetic,0,11,45,0,converted_from_rgb,true
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,190,Hit It,Matte Navy Blue,Matte,matte,blue,,,unknown,low,color_cosmetic,47,34,0,63,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,180,Gagged,Matte Charcoal Grey,Matte,matte,black_gray,,,unknown,low,color_cosmetic,0,0,0,74,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,140,Facts,Matte Burgundy,Matte,matte,berry_plum,,,unknown,low,color_cosmetic,0,68,43,61,converted_from_rgb,true
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,100,On Brand,Nude,Matte,matte,nude,,,unknown,low,color_cosmetic,0,34,44,27,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,130,Hater,Chocolate Brown,Matte,matte,brown,,,unknown,low,color_cosmetic,0,35,44,58,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,120,Delete That,Burgundy,Matte,matte,berry_plum,,,unknown,low,color_cosmetic,0,49,50,54,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,110,Act Natural,Cinnamon,Matte,matte,brown,,,unknown,low,color_cosmetic,0,42,63,43,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,180,Zero Chill,Metallic Silver,Metallic,metallic_shimmer,white_silver,,,unknown,low,color_cosmetic,1,2,0,15,converted_from_rgb,false
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,170,That's Cute,Metallic Hot Pink,Metallic,metallic_shimmer,pink,,,unknown,low,color_cosmetic,0,56,35,11,converted_from_rgb,false
